Assembly_Accession,Accession,Genome_Size_bp
GCF_900313035.1,GCF_900313035.1,5320417
GCF_900313045.1,GCF_900313045.1,4203569
GCF_900313065.1,GCF_900313065.1,4177471
GCF_900302455.1,GCF_900302455.1,5278962
GCF_900327775.1,GCF_900327775.1,3907904
GCF_923868895.1,GCF_923868895.1,4142565
GCF_943846705.1,GCF_943846705.1,4226837
GCF_948151475.1,GCF_948151475.1,6034252
GCF_949787665.1,GCF_949787665.1,4663684
GCF_963665105.2,GCF_963665105.2,5507403
GCF_963669255.1,GCF_963669255.1,4502157
GCF_963691865.1,GCF_963691865.1,4349003
GCF_945994535.1,GCF_945994535.1,7811469
GCF_963942435.1,GCF_963942435.1,7811394
GCF_964026365.1,GCF_964026365.1,9367595
GCF_964261745.1,GCF_964261745.1,9367595
GCF_964264695.1,GCF_964264695.1,4573618
GCF_965229735.1,GCF_965229735.1,6935575
GCF_965229985.1,GCF_965229985.1,4550024
GCF_002706495.1,GCF_002706495.1,3897340
GCF_002714685.1,GCF_002714685.1,4081676
GCF_002721215.1,GCF_002721215.1,3667612
GCF_002554535.1,GCF_002554535.1,6099642
GCF_002563795.1,GCF_002563795.1,4294992
GCF_003225755.1,GCF_003225755.1,6993317
GCF_002723455.1,GCF_002723455.1,4472078
GCF_002742995.1,GCF_002742995.1,3437370
GCF_002743035.1,GCF_002743035.1,3438859
GCF_002743055.1,GCF_002743055.1,3318423
GCF_002743115.1,GCF_002743115.1,3401750
GCF_002743165.1,GCF_002743165.1,3339001
GCF_002743175.1,GCF_002743175.1,3314917
GCF_002743245.1,GCF_002743245.1,3382782
GCF_002743265.1,GCF_002743265.1,3382122
GCF_002743315.1,GCF_002743315.1,3313921
GCF_002743325.1,GCF_002743325.1,3316673
GCF_002743335.1,GCF_002743335.1,3314266
GCF_002743395.1,GCF_002743395.1,3252669
GCF_004116385.1,GCF_004116385.1,5286698
GCF_002797755.1,GCF_002797755.1,3424577
GCF_002796795.1,GCF_002796795.1,4092893
GCF_003049865.1,GCF_003049865.1,5733793
GCF_003049845.1,GCF_003049845.1,5357620
GCF_003050205.1,GCF_003050205.1,5380622
GCF_003049905.1,GCF_003049905.1,5341905
GCF_003050245.1,GCF_003050245.1,5270472
GCF_003049975.1,GCF_003049975.1,5332557
GCF_003049965.1,GCF_003049965.1,5875598
GCF_003050305.1,GCF_003050305.1,5822805
GCF_003050255.1,GCF_003050255.1,5402029
GCF_003050355.1,GCF_003050355.1,5387455
GCF_003050385.1,GCF_003050385.1,5298000
GCF_003050405.1,GCF_003050405.1,5503948
GCF_003050485.1,GCF_003050485.1,5323847
GCF_003050505.1,GCF_003050505.1,5316465
GCF_002810225.1,GCF_002810225.1,6177154
GCF_002910975.1,GCF_002910975.1,6644424
GCF_002835515.1,GCF_002835515.1,6308473
GCF_002836245.1,GCF_002836245.1,5369244
GCF_002836415.1,GCF_002836415.1,4371403
GCF_002835995.1,GCF_002835995.1,4749264
GCF_002836355.1,GCF_002836355.1,4894386
GCF_002835905.1,GCF_002835905.1,5689878
GCF_002862505.1,GCF_002862505.1,5007646
GCF_002929905.1,GCF_002929905.1,5928303
GCF_002929925.1,GCF_002929925.1,5909950
GCF_002929935.1,GCF_002929935.1,5814615
GCF_002929945.1,GCF_002929945.1,5962064
GCF_002929985.1,GCF_002929985.1,6089772
GCF_002930005.1,GCF_002930005.1,5914347
GCF_002930015.1,GCF_002930015.1,5838255
GCF_002930045.1,GCF_002930045.1,6165807
GCF_002860325.1,GCF_002860325.1,4286347
GCF_003798525.1,GCF_003798525.1,5033109
GCF_002879635.1,GCF_002879635.1,3985154
GCF_002883535.1,GCF_002883535.1,6679095
GCF_002883915.1,GCF_002883915.1,6273322
GCF_002899905.1,GCF_002899905.1,6756833
GCF_002917925.1,GCF_002917925.1,4461509
GCF_002901745.1,GCF_002901745.1,6945648
GCF_002901725.1,GCF_002901725.1,6062148
GCF_002933275.1,GCF_002933275.1,4340695
GCF_003002975.1,GCF_003002975.1,4326589
GCF_003003355.1,GCF_003003355.1,4687719
GCF_003003215.1,GCF_003003215.1,4677362
GCF_004126395.1,GCF_004126395.1,3534212
GCF_003002115.1,GCF_003002115.1,9620907
GCF_003045775.1,GCF_003045775.1,4815616
GCF_003045765.1,GCF_003045765.1,4797133
GCF_003012795.1,GCF_003012795.1,3618741
GCF_003014615.1,GCF_003014615.1,3653655
GCF_003014475.1,GCF_003014475.1,4732601
GCF_003057655.1,GCF_003057655.1,7116415
GCF_003026435.1,GCF_003026435.1,5548397
GCF_003026495.1,GCF_003026495.1,5840212
GCF_003026455.1,GCF_003026455.1,6354436
GCF_003025535.1,GCF_003025535.1,4735095
GCF_003025555.1,GCF_003025555.1,5967087
GCF_003025615.1,GCF_003025615.1,6446463
GCF_003025625.1,GCF_003025625.1,4672542
GCF_003026515.1,GCF_003026515.1,4392824
GCF_003025695.1,GCF_003025695.1,4767293
GCF_003025655.1,GCF_003025655.1,4771167
GCF_003025715.1,GCF_003025715.1,4771574
GCF_003025755.1,GCF_003025755.1,4475701
GCF_003026535.1,GCF_003026535.1,4392675
GCF_003025775.1,GCF_003025775.1,4545936
GCF_003025735.1,GCF_003025735.1,4526515
GCF_003028875.1,GCF_003028875.1,4397289
GCF_003026545.1,GCF_003026545.1,4708575
GCF_003026575.1,GCF_003026575.1,4553203
GCF_003025795.1,GCF_003025795.1,4701582
GCF_003025815.1,GCF_003025815.1,4458778
GCF_003025855.1,GCF_003025855.1,4596818
GCF_003025875.1,GCF_003025875.1,4483978
GCF_003026595.1,GCF_003026595.1,4823203
GCF_003025835.1,GCF_003025835.1,4548510
GCF_003026615.1,GCF_003026615.1,4612148
GCF_003026635.1,GCF_003026635.1,4928940
GCF_003025915.1,GCF_003025915.1,5705127
GCF_003025935.1,GCF_003025935.1,5023225
GCF_003026655.1,GCF_003026655.1,5106780
GCF_003025895.1,GCF_003025895.1,4973119
GCF_003026675.1,GCF_003026675.1,4836725
GCF_003025975.1,GCF_003025975.1,4729662
GCF_003025945.1,GCF_003025945.1,4967681
GCF_003025995.1,GCF_003025995.1,5017136
GCF_003026285.1,GCF_003026285.1,6116719
GCF_003026275.1,GCF_003026275.1,4508250
GCF_003026855.1,GCF_003026855.1,4937140
GCF_003026365.1,GCF_003026365.1,4969311
GCF_003026355.1,GCF_003026355.1,4732354
GCF_003027115.1,GCF_003027115.1,5174370
GCF_003026975.1,GCF_003026975.1,5173362
GCF_003027035.1,GCF_003027035.1,5178508
GCF_003027055.1,GCF_003027055.1,5177619
GCF_003028575.1,GCF_003028575.1,3978292
GCF_003097365.1,GCF_003097365.1,6706897
GCF_003030845.1,GCF_003030845.1,5657141
GCF_003056325.1,GCF_003056325.1,5125207
GCF_004519745.1,GCF_004519745.1,5644151
GCF_006124875.1,GCF_006124875.1,5172651
GCF_003053335.1,GCF_003053335.1,5996379
GCF_003053385.1,GCF_003053385.1,5776969
GCF_003054195.1,GCF_003054195.1,5135347
GCF_003072125.1,GCF_003072125.1,3981807
GCF_003075035.1,GCF_003075035.1,3936921
GCF_003129565.1,GCF_003129565.1,3272033
GCF_003122205.1,GCF_003122205.1,3810661
GCF_003172875.1,GCF_003172875.1,5022804
GCF_003176655.1,GCF_003176655.1,7346097
GCF_003184135.1,GCF_003184135.1,5862946
GCF_011813015.1,GCF_011813015.1,4438236
GCF_003204195.1,GCF_003204195.1,6108237
GCF_013393265.1,GCF_013393265.1,6792447
GCF_013393285.1,GCF_013393285.1,6311442
GCF_013393345.1,GCF_013393345.1,6689662
GCF_003217155.1,GCF_003217155.1,3499844
GCF_003225695.1,GCF_003225695.1,6865389
GCF_003225735.1,GCF_003225735.1,6865389
GCF_003225665.1,GCF_003225665.1,6865389
GCF_003225705.1,GCF_003225705.1,6865808
GCF_003208435.1,GCF_003208435.1,4926685
GCF_003254185.1,GCF_003254185.1,4159922
GCF_003350005.1,GCF_003350005.1,3031855
GCF_003350225.1,GCF_003350225.1,6425774
GCF_003269045.1,GCF_003269045.1,5753615
GCF_003289945.1,GCF_003289945.1,7338563
GCF_003298505.1,GCF_003298505.1,3715327
GCF_003316635.1,GCF_003316635.1,3515059
GCF_003315345.1,GCF_003315345.1,4132091
GCF_003318155.1,GCF_003318155.1,4835694
GCF_003318255.1,GCF_003318255.1,4443289
GCF_003333265.1,GCF_003333265.1,4775714
GCF_003574735.1,GCF_003574735.1,6132710
GCF_003326605.2,GCF_003326605.2,6087043
GCF_003334845.1,GCF_003334845.1,6133234
GCF_009455635.1,GCF_009455635.1,8721420
GCF_003337565.1,GCF_003337565.1,4206165
GCF_003345655.1,GCF_003345655.1,4185419
GCF_003385715.1,GCF_003385715.1,3539463
GCF_003385055.1,GCF_003385055.1,7835688
GCF_003605645.1,GCF_003605645.1,5302048
GCF_007279645.1,GCF_007279645.1,6305977
GCF_003570715.1,GCF_003570715.1,4661677
GCF_003651245.1,GCF_003651245.1,4053554
GCF_003610515.1,GCF_003610515.1,3656823
GCF_009361695.1,GCF_009361695.1,5095112
GCF_003634925.1,GCF_003634925.1,3718295
GCF_003663885.1,GCF_003663885.1,3949755
GCF_003664205.1,GCF_003664205.1,4504665
GCF_004000255.1,GCF_004000255.1,4635959
GCF_003666515.1,GCF_003666515.1,6834659
GCF_003667985.1,GCF_003667985.1,5552483
GCF_004104355.1,GCF_004104355.1,5923999
GCF_003751575.1,GCF_003751575.1,6926262
GCF_003752305.1,GCF_003752305.1,6930756
GCF_003790425.1,GCF_003790425.1,5211388
GCF_003991405.1,GCF_003991405.1,3878578
GCF_003858655.1,GCF_003858655.1,4736203
GCF_003856855.1,GCF_003856855.1,5019847
GCF_014861365.1,GCF_014861365.1,3361643
GCF_014861375.1,GCF_014861375.1,3373841
GCF_004348895.1,GCF_004348895.1,6385632
GCF_009910675.1,GCF_009910675.1,6530165
GCF_003937805.1,GCF_003937805.1,4441431
GCF_009761815.1,GCF_009761815.1,6411688
GCF_009764265.1,GCF_009764265.1,6753940
GCF_005930605.1,GCF_005930605.1,6068462
GCF_005930545.1,GCF_005930545.1,6087214
GCF_003966155.1,GCF_003966155.1,4352895
GCF_003970425.1,GCF_003970425.1,6568793
GCF_003970385.1,GCF_003970385.1,4451605
GCF_019350925.1,GCF_019350925.1,5189300
GCF_003990645.1,GCF_003990645.1,4367258
GCF_003994535.1,GCF_003994535.1,5259703
GCF_003989795.1,GCF_003989795.1,3907727
GCF_005281835.1,GCF_005281835.1,5189300
GCF_003998265.1,GCF_003998265.1,6785254
GCF_003998015.1,GCF_003998015.1,6800575
GCF_004016895.1,GCF_004016895.1,7421160
GCF_004016625.1,GCF_004016625.1,7465030
GCF_004016805.1,GCF_004016805.1,6934473
GCF_004016745.1,GCF_004016745.1,7394767
GCF_004017535.1,GCF_004017535.1,6863758
GCF_004017525.1,GCF_004017525.1,6827058
GCF_004017175.1,GCF_004017175.1,6861187
GCF_004018245.1,GCF_004018245.1,6959660
GCF_004018155.1,GCF_004018155.1,6730866
GCF_004018165.1,GCF_004018165.1,7186735
GCF_004017935.1,GCF_004017935.1,6662552
GCF_004019575.1,GCF_004019575.1,6673347
GCF_004020995.1,GCF_004020995.1,6610443
GCF_004020985.1,GCF_004020985.1,6633739
GCF_004020875.1,GCF_004020875.1,6665562
GCF_004020855.1,GCF_004020855.1,6702527
GCF_004020305.1,GCF_004020305.1,7049848
GCF_004020595.1,GCF_004020595.1,6686815
GCF_004551525.1,GCF_004551525.1,5483755
GCF_028895345.1,GCF_028895345.1,3215034
GCF_004283075.1,GCF_004283075.1,5158846
GCF_022496645.1,GCF_022496645.1,4754740
GCF_022496665.1,GCF_022496665.1,6221093
GCF_007049805.1,GCF_007049805.1,6454688
GCF_005502555.1,GCF_005502555.1,6122345
GCF_004522045.1,GCF_004522045.1,4999338
GCF_004123195.1,GCF_004123195.1,5278793
GCF_004798905.1,GCF_004798905.1,3235738
GCF_004168035.1,GCF_004168035.1,4713567
GCF_004153435.1,GCF_004153435.1,5791625
GCF_004153505.1,GCF_004153505.1,5786271
GCF_004145845.1,GCF_004145845.1,3775945
GCF_004764445.1,GCF_004764445.1,4952015
GCF_008271565.1,GCF_008271565.1,5145761
GCF_009897645.1,GCF_009897645.1,6995890
GCF_012275705.1,GCF_012275705.1,5006289
GCF_004761875.1,GCF_004761875.1,3941562
GCF_005434965.1,GCF_005434965.1,4319764
GCF_007126715.1,GCF_007126715.1,3261092
GCF_004347715.1,GCF_004347715.1,3679791
GCF_004341035.1,GCF_004341035.1,4660335
GCF_004345845.1,GCF_004345845.1,6094943
GCF_004341645.1,GCF_004341645.1,5848363
GCF_004349325.1,GCF_004349325.1,5812423
GCF_004349375.1,GCF_004349375.1,5053409
GCF_009711415.1,GCF_009711415.1,4806378
GCF_009711445.1,GCF_009711445.1,3561564
GCF_009711355.1,GCF_009711355.1,10284481
GCF_004358695.1,GCF_004358695.1,3397122
GCF_004363665.1,GCF_004363665.1,5952688
GCF_004364805.1,GCF_004364805.1,4886351
GCF_004365885.1,GCF_004365885.1,3867412
GCF_004366635.1,GCF_004366635.1,3908763
GCF_004959845.1,GCF_004959845.1,3657185
GCF_004959855.1,GCF_004959855.1,6190193
GCF_004614175.1,GCF_004614175.1,5772482
GCF_004614155.1,GCF_004614155.1,5993405
GCF_013345145.1,GCF_013345145.1,7020284
GCF_004785685.1,GCF_004785685.1,3770660
GCF_004804335.1,GCF_004804335.1,4979779
GCF_004792665.1,GCF_004792665.1,4001490
GCF_029873115.1,GCF_029873115.1,6358072
GCF_029873135.1,GCF_029873135.1,6565734
GCF_029873155.1,GCF_029873155.1,6298961
GCF_029873175.1,GCF_029873175.1,6331596
GCF_029871205.1,GCF_029871205.1,6563191
GCF_029871195.1,GCF_029871195.1,6073883
GCF_029871275.1,GCF_029871275.1,6657499
GCF_029871235.1,GCF_029871235.1,6373962
GCF_004963255.1,GCF_004963255.1,6692081
GCF_004962575.1,GCF_004962575.1,7080109
GCF_004962315.1,GCF_004962315.1,6601523
GCF_013337275.1,GCF_013337275.1,6156922
GCF_013337265.1,GCF_013337265.1,6130966
GCF_013337325.1,GCF_013337325.1,6121243
GCF_013337345.1,GCF_013337345.1,6147547
GCF_013337385.1,GCF_013337385.1,6154127
GCF_013337355.1,GCF_013337355.1,6155988
GCF_013337395.1,GCF_013337395.1,6152894
GCF_013337415.1,GCF_013337415.1,6146022
GCF_013336785.1,GCF_013336785.1,6146968
GCF_013337445.1,GCF_013337445.1,6964104
GCF_005871205.1,GCF_005871205.1,4337754
GCF_005871125.1,GCF_005871125.1,4829700
GCF_005145885.1,GCF_005145885.1,5297300
GCF_005146345.1,GCF_005146345.1,5515442
GCF_005146325.1,GCF_005146325.1,4475161
GCF_005146365.1,GCF_005146365.1,5513890
GCF_005145945.1,GCF_005145945.1,5549307
GCF_005146425.1,GCF_005146425.1,4976200
GCF_005146375.1,GCF_005146375.1,5028103
GCF_005145915.1,GCF_005145915.1,5518349
GCF_005146405.1,GCF_005146405.1,5604507
GCF_005146485.1,GCF_005146485.1,5020869
GCF_005146525.1,GCF_005146525.1,4963358
GCF_005146585.1,GCF_005146585.1,4928647
GCF_005146615.1,GCF_005146615.1,5262506
GCF_005146605.1,GCF_005146605.1,4973486
GCF_005146815.1,GCF_005146815.1,5096039
GCF_005146775.1,GCF_005146775.1,5631239
GCF_005166255.1,GCF_005166255.1,5617606
GCF_005146675.1,GCF_005146675.1,5518752
GCF_005146825.1,GCF_005146825.1,5536999
GCF_005146845.1,GCF_005146845.1,5527855
GCF_005146895.1,GCF_005146895.1,5521791
GCF_005146915.1,GCF_005146915.1,5523213
GCF_005146875.1,GCF_005146875.1,5534650
GCF_005146635.1,GCF_005146635.1,5530772
GCF_013368925.1,GCF_013368925.1,5105684
GCF_013369295.1,GCF_013369295.1,4742694
GCF_009669325.1,GCF_009669325.1,3498676
GCF_005281825.1,GCF_005281825.1,4999218
GCF_005298175.1,GCF_005298175.1,4423279
GCF_005281615.1,GCF_005281615.1,5488745
GCF_006125015.1,GCF_006125015.1,4221330
GCF_013416885.1,GCF_013416885.1,4999218
GCF_900455735.1,GCF_900455735.1,7777377
GCF_900460165.1,GCF_900460165.1,5674887
GCF_900460285.1,GCF_900460285.1,5151658
GCF_900445235.1,GCF_900445235.1,5886880
GCF_900455645.1,GCF_900455645.1,6142576
GCF_900455955.1,GCF_900455955.1,3452703
GCF_900460325.1,GCF_900460325.1,5326939
GCF_900460395.1,GCF_900460395.1,5864290
GCF_900499075.1,GCF_900499075.1,3901528
GCF_900537075.1,GCF_900537075.1,4655854
GCF_900537105.1,GCF_900537105.1,5209366
GCF_900537165.1,GCF_900537165.1,5705547
GCF_006333845.1,GCF_006333845.1,4829746
GCF_005771405.1,GCF_005771405.1,4852500
GCF_005887595.1,GCF_005887595.1,7052842
GCF_006148955.1,GCF_006148955.1,3643229
GCF_005780185.1,GCF_005780185.1,4028094
GCF_009910445.1,GCF_009910445.1,4978116
GCF_007671675.1,GCF_007671675.1,4357025
GCF_016597775.1,GCF_016597775.1,4058513
GCF_016597815.1,GCF_016597815.1,3858407
GCF_005887555.1,GCF_005887555.1,3660127
GCF_024355225.1,GCF_024355225.1,4515828
GCF_005938215.1,GCF_005938215.1,4230323
GCF_013376655.1,GCF_013376655.1,5566241
GCF_013376675.1,GCF_013376675.1,5563644
GCF_006151825.1,GCF_006151825.1,5083925
GCF_009711895.1,GCF_009711895.1,3223358
GCF_011319775.1,GCF_011319775.1,3536925
GCF_007858805.1,GCF_007858805.1,4867491
GCF_007858825.1,GCF_007858825.1,5182689
GCF_007858835.1,GCF_007858835.1,5208515
GCF_007858915.1,GCF_007858915.1,5559141
GCF_007858895.1,GCF_007858895.1,5391686
GCF_006716865.1,GCF_006716865.1,4725029
GCF_006439355.1,GCF_006439355.1,6131327
GCF_006439375.1,GCF_006439375.1,6177034
GCF_006439595.1,GCF_006439595.1,6428261
GCF_006439495.1,GCF_006439495.1,6831577
GCF_006439385.1,GCF_006439385.1,6670016
GCF_006439555.1,GCF_006439555.1,6359818
GCF_006439635.1,GCF_006439635.1,6830128
GCF_006440815.1,GCF_006440815.1,6461382
GCF_006440775.1,GCF_006440775.1,6373736
GCF_006440735.1,GCF_006440735.1,7031594
GCF_006440575.1,GCF_006440575.1,6302834
GCF_006442775.1,GCF_006442775.1,6428026
GCF_006442815.1,GCF_006442815.1,6206311
GCF_006443065.1,GCF_006443065.1,6578462
GCF_006442965.1,GCF_006442965.1,6316094
GCF_006443075.1,GCF_006443075.1,6304386
GCF_007474605.1,GCF_007474605.1,5593515
GCF_013048515.1,GCF_013048515.1,5204341
GCF_013048495.1,GCF_013048495.1,5228382
GCF_013048545.1,GCF_013048545.1,5175814
GCF_013048535.1,GCF_013048535.1,5176990
GCF_013048605.1,GCF_013048605.1,5444598
GCF_013048645.1,GCF_013048645.1,5176459
GCF_013048625.1,GCF_013048625.1,5251311
GCF_008369105.1,GCF_008369105.1,4513837
GCF_007993865.1,GCF_007993865.1,5022697
GCF_007004555.1,GCF_007004555.1,3406703
GCF_007197645.1,GCF_007197645.1,5939027
GCF_007829635.1,GCF_007829635.1,4216557
GCF_007830625.1,GCF_007830625.1,5221872
GCF_008795935.1,GCF_008795935.1,3743532
GCF_007786215.1,GCF_007786215.1,4215468
GCF_008369115.1,GCF_008369115.1,3120990
GCF_008369225.1,GCF_008369225.1,3005898
GCF_008369245.1,GCF_008369245.1,3062038
GCF_008369335.1,GCF_008369335.1,3636638
GCF_008370015.1,GCF_008370015.1,4530068
GCF_007923355.1,GCF_007923355.1,4943538
GCF_007923445.1,GCF_007923445.1,4880907
GCF_009377275.1,GCF_009377275.1,7295150
GCF_007997305.1,GCF_007997305.1,2846672
GCF_009662095.1,GCF_009662095.1,5994456
GCF_008271735.1,GCF_008271735.1,5332603
GCF_008039225.1,GCF_008039225.1,5027545
GCF_008124495.1,GCF_008124495.1,5253286
GCF_008122525.1,GCF_008122525.1,3591672
GCF_009991855.1,GCF_009991855.1,5128651
GCF_009991885.1,GCF_009991885.1,5129335
GCF_013114685.1,GCF_013114685.1,5492354
GCF_013114665.1,GCF_013114665.1,5567035
GCF_013114615.1,GCF_013114615.1,4251952
GCF_013114625.1,GCF_013114625.1,5054655
GCF_013114595.1,GCF_013114595.1,4850340
GCF_013114515.1,GCF_013114515.1,4822621
GCF_013114395.1,GCF_013114395.1,5348944
GCF_013114295.1,GCF_013114295.1,5162339
GCF_013114225.1,GCF_013114225.1,5893609
GCF_013114245.1,GCF_013114245.1,5817450
GCF_013114135.1,GCF_013114135.1,4491157
GCF_013114055.1,GCF_013114055.1,5620434
GCF_013114015.1,GCF_013114015.1,5518786
GCF_013114045.1,GCF_013114045.1,5456512
GCF_013114005.1,GCF_013114005.1,5074722
GCF_013113955.1,GCF_013113955.1,5266981
GCF_013113915.1,GCF_013113915.1,5358352
GCF_013113845.1,GCF_013113845.1,4891316
GCF_013113815.1,GCF_013113815.1,5624746
GCF_013113805.1,GCF_013113805.1,6003304
GCF_008756925.1,GCF_008756925.1,5439955
GCF_011355085.1,GCF_011355085.1,6373949
GCF_008711325.1,GCF_008711325.1,4993424
GCF_008756975.1,GCF_008756975.1,5531351
GCF_008711465.1,GCF_008711465.1,2623077
GCF_032424515.1,GCF_032424515.1,6869106
GCF_008757025.1,GCF_008757025.1,5185326
GCF_009391885.1,GCF_009391885.1,6075282
GCF_008801375.1,GCF_008801375.1,6492809
GCF_009193265.1,GCF_009193265.1,4346454
GCF_008921745.1,GCF_008921745.1,5308803
GCF_032648545.1,GCF_032648545.1,5114454
GCF_032648565.1,GCF_032648565.1,5111971
GCF_008933605.1,GCF_008933605.1,3656294
GCF_009184395.1,GCF_009184395.1,3136101
GCF_010095445.2,GCF_010095445.2,6457380
GCF_009725675.1,GCF_009725675.1,2936212
GCF_016125575.1,GCF_016125575.1,3635823
GCF_009362845.1,GCF_009362845.1,2177115
GCF_010994755.1,GCF_010994755.1,7043451
GCF_009651005.1,GCF_009651005.1,3584243
GCF_009496005.1,GCF_009496005.1,4382248
GCF_009617595.1,GCF_009617595.1,3681437
GCF_009674635.1,GCF_009674635.1,6551483
GCF_034506495.1,GCF_034506495.1,6130805
GCF_013317235.1,GCF_013317235.1,5331509
GCF_021504545.1,GCF_021504545.1,4688099
GCF_021504615.1,GCF_021504615.1,4689433
GCF_021236655.1,GCF_021236655.1,4689415
GCF_021236585.1,GCF_021236585.1,4980977
GCF_021504635.1,GCF_021504635.1,4977689
GCF_021236645.1,GCF_021236645.1,4555960
GCF_021236625.1,GCF_021236625.1,4810084
GCF_021236685.1,GCF_021236685.1,4939823
GCF_021236705.1,GCF_021236705.1,4839609
GCF_021236725.1,GCF_021236725.1,4705559
GCF_021236745.1,GCF_021236745.1,4823420
GCF_021735945.1,GCF_021735945.1,4001943
GCF_021736025.1,GCF_021736025.1,3984365
GCF_009856225.1,GCF_009856225.1,4463877
GCF_009856295.1,GCF_009856295.1,4413099
GCF_009711185.1,GCF_009711185.1,3906278
GCF_009746605.1,GCF_009746605.1,7036010
GCF_013030985.1,GCF_013030985.1,4764479
GCF_013031015.1,GCF_013031015.1,4342083
GCF_013031175.1,GCF_013031175.1,4265724
GCF_013031165.1,GCF_013031165.1,4144219
GCF_013031185.1,GCF_013031185.1,4144219
GCF_013031225.1,GCF_013031225.1,4211111
GCF_013030225.1,GCF_013030225.1,4581848
GCF_013031245.1,GCF_013031245.1,5273537
GCF_013031295.1,GCF_013031295.1,3780861
GCF_013030165.1,GCF_013030165.1,4867643
GCF_013031355.1,GCF_013031355.1,4912483
GCF_013030235.1,GCF_013030235.1,3789683
GCF_013030325.1,GCF_013030325.1,3837529
GCF_013030285.1,GCF_013030285.1,3716906
GCF_013031345.1,GCF_013031345.1,3720516
GCF_013030305.1,GCF_013030305.1,3812334
GCF_013031325.1,GCF_013031325.1,3862696
GCF_013031405.1,GCF_013031405.1,6081940
GCF_013031565.1,GCF_013031565.1,4525383
GCF_013031985.1,GCF_013031985.1,4275171
GCF_013032005.1,GCF_013032005.1,4399747
GCF_013032025.1,GCF_013032025.1,4153509
GCF_013032035.1,GCF_013032035.1,4401315
GCF_013032145.1,GCF_013032145.1,4563248
GCF_013032185.1,GCF_013032185.1,4164393
GCF_013032265.1,GCF_013032265.1,4318366
GCF_013032225.1,GCF_013032225.1,4914080
GCF_013032455.1,GCF_013032455.1,4243278
GCF_013032505.1,GCF_013032505.1,5128566
GCF_013032575.1,GCF_013032575.1,4380333
GCF_013032525.1,GCF_013032525.1,4246024
GCF_013032735.1,GCF_013032735.1,3825427
GCF_013032765.1,GCF_013032765.1,3825858
GCF_013032825.1,GCF_013032825.1,4557806
GCF_013032845.1,GCF_013032845.1,3749616
GCF_013032855.1,GCF_013032855.1,3822604
GCF_013032875.1,GCF_013032875.1,3736839
GCF_013032925.1,GCF_013032925.1,3843817
GCF_013032945.1,GCF_013032945.1,3795953
GCF_013033125.1,GCF_013033125.1,4313640
GCF_013033185.1,GCF_013033185.1,4372666
GCF_013033235.1,GCF_013033235.1,4443882
GCF_013033245.1,GCF_013033245.1,4315500
GCF_013033425.1,GCF_013033425.1,3782372
GCF_013033465.1,GCF_013033465.1,3731673
GCF_013033475.1,GCF_013033475.1,3769456
GCF_013033505.1,GCF_013033505.1,4646721
GCF_013033515.1,GCF_013033515.1,4541872
GCF_013033705.1,GCF_013033705.1,4457558
GCF_013033965.1,GCF_013033965.1,4673414
GCF_013034175.1,GCF_013034175.1,4592887
GCF_013034145.1,GCF_013034145.1,4278675
GCF_013034165.1,GCF_013034165.1,4229865
GCF_013034245.1,GCF_013034245.1,4449000
GCF_013034425.1,GCF_013034425.1,4399533
GCF_013034445.1,GCF_013034445.1,4649198
GCF_013034465.1,GCF_013034465.1,4443531
GCF_013034485.1,GCF_013034485.1,4364325
GCF_013034475.1,GCF_013034475.1,4681806
GCF_013034525.1,GCF_013034525.1,4337632
GCF_013034545.1,GCF_013034545.1,4744779
